PERADENIYA,830
KEGALLE,698
KANDY,662
MATALE,289
NUWARAELIYA,273
NAWALAPITIYA,259
COLOMBO03,36
GAMPOLA,22
DIGANA,20
DAMBULLA,7
KARAWANELLA.,2
FACULTYOFMEDICINE,1
WARAKAPOLA,1
PHARMACOLOGY,1
