RATHNAPURA,509
KARAPITIYA,497
MATARA,479
HAMBANTOTA,395
GALLE,269
BALAPITIYA,214
EMBILIPITIYA,148
MAHAMODARA,129
TANGALLE,103
SOUTHERNPROVINCE,79
ELPITIYA,11
SABARAGAMUWA,2
MEDICINE,1
DENIYAYA,1
