Date,x
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-17,
2017-04-18,
2017-04-19,-2864.2117112469987
2017-04-20,-5898.505828894057
2017-04-22,-2756.0919633478384
2017-04-24,4296.537238332836
2017-04-25,51964.58030555972
2017-04-26,-7912.129778473887
2017-04-27,6227.971061862246
2017-04-30,-11655.499526373047
2017-05-12,1267.8581416941797
2017-05-15,-10751.56780368397
2017-05-16,14165.473687912669
2017-05-17,-3912.251102003299
2017-05-18,-10309.640807885655
2017-05-19,-12897.566556310025
2017-05-22,-3082.3724255327134
2017-05-23,15182.797742534513
2017-05-24,16785.818750937877
2017-05-25,-6563.9091902385935
2017-05-26,-9884.294694440274
2017-05-27,-5577.719064188173
2017-05-29,5750.917490433673
2017-05-30,-9124.874526373049
2017-05-31,-17914.891858305822
2017-06-01,37886.021482030315
2017-06-02,984.330830769808
2017-06-05,3273.802469425271
2017-06-06,-3461.6318793142264
2017-06-07,-12081.387984881454
2017-06-09,-5640.515282675573
2017-06-12,-6320.380828894059
2017-06-13,4010.7830366521616
2017-06-14,-5648.962761667165
2017-06-15,-9061.723265868846
2017-06-16,-3917.183349902461
2017-06-19,66960.68534757654
2017-06-20,-7236.695954944478
2017-06-21,-17323.641858305826
2017-06-22,-5359.264232255404
2017-06-23,-4690.606669230193
2017-06-24,-1253.2511020033025
2017-06-26,-2851.417593599941
2017-06-27,-8632.298699167166
2017-06-28,1325.395431610144
2017-06-29,10879.351313963085
2017-06-30,561.5151795093038
2017-07-03,-251.15919023859465
2017-07-04,-3995.1696944402756
2017-07-05,2830.62022152611
2017-07-06,569.5603475765295
2017-07-07,-3073.8923835159057
2017-07-10,-13044.106144020108
2017-07-11,2728.78933917317
2017-07-12,587.9826164840924
2017-07-13,745.3738979966984
2017-07-14,-7433.980093599939
2017-07-17,-10036.048699167166
2017-07-18,8097.966860181572
2017-07-19,33635.0745282488
2017-07-20,105.42589379501851
2017-07-21,-3149.712761667166
2017-07-22,-7021.20540872599
2017-07-24,593.8523643832527
2017-07-25,7098.0246332908155
2017-07-26,-3990.4102406587635
2017-07-27,-13770.40971544868
2017-07-28,-923.33566082683
2017-07-29,-1841.0709549444773
2017-07-31,2409.5703265681277
2017-08-01,-3941.497950742797
2017-08-02,-3539.530842024309
2017-08-03,903.6632887530013
2017-08-04,-7048.354043179771
2017-08-08,9999.47946522359
2017-08-09,-8568.980618810021
2017-08-10,-9779.366123011703
2017-08-11,-15338.415492759601
2017-08-12,-25569.42179528061
2017-08-14,15380.286187912669
2017-08-15,58864.000998837044
2017-08-16,-14241.317803683965
2017-08-17,-23023.481669230187
2017-08-21,-18046.48324486044
2017-08-22,98956.16276354292
2017-08-23,36297.951300832836
2017-08-24,-20656.997425532703
2017-08-25,-17398.148686036908
2017-08-28,-13500.020534776411
2017-08-29,-11351.766333095737
2017-08-30,-17725.633980154562
2017-08-31,-8455.772635616748
2017-09-01,-5138.957509566327
2017-09-04,19181.920116484092
2017-09-06,-12287.15971544868
2017-09-07,-218.26423225540202
2017-09-08,2760.036187912665
