Date,x
2017-04-04,-3.882794784580499
2017-04-05,-4.268509070294784
2017-04-06,-3.8399376417233553
2017-04-07,5.099348072562357
2017-04-19,-4.051048752834467
2017-04-20,1.3021258503401374
2017-04-25,-4.4796201814058945
2017-04-26,-1.4542233560090694
2017-04-27,-1.9113662131519262
2017-05-15,-1.4220804988662121
2017-05-16,-3.5970804988662133
2017-05-22,1.0993480725623594
2017-05-23,16.356490929705213
2017-05-24,5.049348072562359
2017-05-25,-3.882794784580499
2017-05-29,-4.268509070294784
2017-05-31,-3.8399376417233553
2017-06-01,5.099348072562357
2017-06-02,-4.051048752834467
2017-06-05,1.3021258503401374
2017-06-06,-4.4796201814058945
2017-06-07,-1.4542233560090694
2017-06-09,-1.9113662131519262
2017-06-12,-1.4220804988662121
2017-06-13,-3.5970804988662133
2017-06-14,1.0993480725623594
2017-06-15,16.356490929705213
2017-06-19,5.049348072562359
2017-06-21,-3.882794784580499
2017-06-23,-4.268509070294784
2017-06-24,-3.8399376417233553
2017-06-26,5.099348072562357
2017-06-27,-4.051048752834467
2017-06-28,1.3021258503401374
2017-06-29,-4.4796201814058945
2017-07-03,-1.4542233560090694
2017-07-06,-1.9113662131519262
2017-07-07,-1.4220804988662121
2017-07-10,-3.5970804988662133
2017-07-11,1.0993480725623594
2017-07-17,16.356490929705213
2017-07-19,5.049348072562359
2017-07-21,-3.882794784580499
2017-07-24,-4.268509070294784
2017-07-25,-3.8399376417233553
2017-08-01,5.099348072562357
2017-08-03,-4.051048752834467
2017-08-08,1.3021258503401374
2017-08-15,-4.4796201814058945
2017-08-16,-1.4542233560090694
2017-08-21,-1.9113662131519262
2017-08-25,-1.4220804988662121
2017-08-28,-3.5970804988662133
2017-09-06,1.0993480725623594
2017-09-07,16.356490929705213
2017-09-08,5.049348072562359
2017-09-11,-3.882794784580499
2017-09-12,-4.268509070294784
2017-09-13,-3.8399376417233553
2017-09-14,5.099348072562357
2017-09-15,-4.051048752834467
2017-09-18,1.3021258503401374
2017-09-19,-4.4796201814058945
2017-09-23,-1.4542233560090694
2017-09-26,-1.9113662131519262
2017-09-28,-1.4220804988662121
2017-09-29,-3.5970804988662133
2017-09-30,1.0993480725623594
2017-10-02,16.356490929705213
2017-10-09,5.049348072562359
2017-10-10,-3.882794784580499
2017-10-16,-4.268509070294784
2017-10-19,-3.8399376417233553
2017-10-23,5.099348072562357
2017-10-24,-4.051048752834467
2017-10-25,1.3021258503401374
2017-10-27,-4.4796201814058945
2017-10-28,-1.4542233560090694
2017-10-31,-1.9113662131519262
2017-11-06,-1.4220804988662121
2017-11-07,-3.5970804988662133
2017-11-08,1.0993480725623594
2017-11-09,16.356490929705213
2017-11-14,5.049348072562359
2017-11-15,-3.882794784580499
2017-11-16,-4.268509070294784
2017-11-20,-3.8399376417233553
2017-11-21,5.099348072562357
2017-11-22,-4.051048752834467
2017-11-24,1.3021258503401374
2017-11-30,-4.4796201814058945
2017-12-04,-1.4542233560090694
2017-12-05,-1.9113662131519262
2017-12-06,-1.4220804988662121
2017-12-07,-3.5970804988662133
2017-12-09,1.0993480725623594
2017-12-11,16.356490929705213
2017-12-12,5.049348072562359
2017-12-13,-3.882794784580499
2017-12-15,-4.268509070294784
2017-12-18,-3.8399376417233553
2017-12-19,5.099348072562357
2017-12-20,-4.051048752834467
2017-12-21,1.3021258503401374
2017-12-22,-4.4796201814058945
2017-12-26,-1.4542233560090694
2017-12-27,-1.9113662131519262
2017-12-28,-1.4220804988662121
2018-01-02,-3.5970804988662133
2018-01-03,1.0993480725623594
2018-01-04,16.356490929705213
2018-01-08,5.049348072562359
2018-01-09,-3.882794784580499
2018-01-10,-4.268509070294784
2018-01-12,-3.8399376417233553
2018-01-13,5.099348072562357
2018-01-15,-4.051048752834467
2018-01-16,1.3021258503401374
2018-01-17,-4.4796201814058945
2018-01-18,-1.4542233560090694
2018-01-24,-1.9113662131519262
2018-01-27,-1.4220804988662121
2018-02-01,-3.5970804988662133
2018-02-02,1.0993480725623594
2018-02-05,16.356490929705213
2018-02-06,5.049348072562359
2018-02-08,-3.882794784580499
2018-02-12,-4.268509070294784
2018-02-13,-3.8399376417233553
2018-02-17,5.099348072562357
2018-02-20,-4.051048752834467
2018-02-21,1.3021258503401374
2018-02-24,-4.4796201814058945
2018-02-27,-1.4542233560090694
2018-02-28,-1.9113662131519262
2018-03-06,-1.4220804988662121
2018-03-07,-3.5970804988662133
2018-03-09,1.0993480725623594
2018-03-10,16.356490929705213
2018-03-12,5.049348072562359
2018-03-13,-3.882794784580499
2018-03-14,-4.268509070294784
2018-03-16,-3.8399376417233553
2018-03-19,5.099348072562357
2018-03-20,-4.051048752834467
2018-03-21,1.3021258503401374
2018-03-22,-4.4796201814058945
2018-03-26,-1.4542233560090694
2018-03-28,-1.9113662131519262
2018-03-29,-1.4220804988662121
2018-03-30,-3.5970804988662133
