Date,x
2017-04-03,698.7138120873349
2017-04-04,10403.320429734395
2017-04-05,-1870.4679106017406
2017-04-06,-2025.411187912665
2017-04-07,-5608.05246942527
2017-04-17,2541.1943793142254
2017-04-18,5222.191556310024
2017-04-19,-3003.324003038715
2017-04-20,-2359.8155996773703
2017-04-22,-2552.4437509378754
2017-04-24,-1861.019381189977
2017-04-25,1982.4911230117038
2017-04-26,-2625.7630786689674
2017-04-27,1058.3860809948994
2017-04-30,698.7138120873349
2017-05-12,10403.320429734395
2017-05-15,-1870.4679106017406
2017-05-16,-2025.411187912665
2017-05-17,-5608.05246942527
2017-05-18,2541.1943793142254
2017-05-19,5222.191556310024
2017-05-22,-3003.324003038715
2017-05-23,-2359.8155996773703
2017-05-24,-2552.4437509378754
2017-05-25,-1861.019381189977
2017-05-26,1982.4911230117038
2017-05-27,-2625.7630786689674
2017-05-29,1058.3860809948994
2017-05-30,698.7138120873349
2017-05-31,10403.320429734395
2017-06-01,-1870.4679106017406
2017-06-02,-2025.411187912665
2017-06-05,-5608.05246942527
2017-06-06,2541.1943793142254
2017-06-07,5222.191556310024
2017-06-09,-3003.324003038715
2017-06-12,-2359.8155996773703
2017-06-13,-2552.4437509378754
2017-06-14,-1861.019381189977
2017-06-15,1982.4911230117038
2017-06-16,-2625.7630786689674
2017-06-19,1058.3860809948994
2017-06-20,698.7138120873349
2017-06-21,10403.320429734395
2017-06-22,-1870.4679106017406
2017-06-23,-2025.411187912665
2017-06-24,-5608.05246942527
2017-06-26,2541.1943793142254
2017-06-27,5222.191556310024
2017-06-28,-3003.324003038715
2017-06-29,-2359.8155996773703
2017-06-30,-2552.4437509378754
2017-07-03,-1861.019381189977
2017-07-04,1982.4911230117038
2017-07-05,-2625.7630786689674
2017-07-06,1058.3860809948994
2017-07-07,698.7138120873349
2017-07-10,10403.320429734395
2017-07-11,-1870.4679106017406
2017-07-12,-2025.411187912665
2017-07-13,-5608.05246942527
2017-07-14,2541.1943793142254
2017-07-17,5222.191556310024
2017-07-18,-3003.324003038715
2017-07-19,-2359.8155996773703
2017-07-20,-2552.4437509378754
2017-07-21,-1861.019381189977
2017-07-22,1982.4911230117038
2017-07-24,-2625.7630786689674
2017-07-25,1058.3860809948994
2017-07-26,698.7138120873349
2017-07-27,10403.320429734395
2017-07-28,-1870.4679106017406
2017-07-29,-2025.411187912665
2017-07-31,-5608.05246942527
2017-08-01,2541.1943793142254
