Date,x
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-17,
2017-04-18,
2017-04-19,8542.535714285714
2017-04-20,8988.321428571428
2017-04-22,9378.535714285714
2017-04-24,10206.482142857141
2017-04-25,11031.92857142857
2017-04-26,10971.892857142855
2017-04-27,10985.642857142855
2017-04-30,10957.785714285712
2017-05-12,11603.821428571426
2017-05-15,12922.035714285712
2017-05-16,13110.437499999996
2017-05-17,10341.303571428569
2017-05-18,8006.446428571429
2017-05-19,7885.375000000001
2017-05-22,7783.696428571428
2017-05-23,6973.017857142858
2017-05-24,7680.625
2017-05-25,8498.17857142857
2017-05-26,7913.80357142857
2017-05-27,8228.482142857141
2017-05-29,8481.696428571428
2017-05-30,8561.160714285714
2017-05-31,7953.571428571428
2017-06-01,6930.446428571428
2017-06-02,6537.080357142857
2017-06-05,6547.249999999999
2017-06-06,6577.437500000001
2017-06-07,8740.19642857143
2017-06-09,10895.839285714288
2017-06-12,10909.69642857143
2017-06-13,9374.660714285714
2017-06-14,7649.982142857142
2017-06-15,7309.232142857143
2017-06-16,7195.196428571428
2017-06-19,7201.928571428571
2017-06-20,7100.982142857143
2017-06-21,7322.321428571429
2017-06-22,7234.732142857144
2017-06-23,6862.017857142858
2017-06-24,6883.3035714285725
2017-06-26,6965.223214285716
2017-06-27,4481.607142857142
2017-06-28,1912.928571428571
2017-06-29,1924.464285714286
2017-06-30,2156.9285714285716
2017-07-03,2483.1785714285716
2017-07-04,2607.6785714285716
2017-07-05,2376.1428571428573
2017-07-06,2123.053571428571
2017-07-07,2485.178571428571
2017-07-10,3818.7857142857138
2017-07-11,4879.678571428571
2017-07-12,4985.4285714285725
2017-07-13,4968.678571428572
2017-07-14,4980.785714285714
2017-07-17,5365.857142857142
2017-07-18,5799.357142857143
2017-07-19,5850.741071428572
2017-07-20,5636.017857142857
2017-07-21,5319.732142857143
2017-07-22,5226.714285714286
2017-07-24,5358.910714285715
2017-07-25,5630.589285714285
2017-07-26,5503.696428571428
2017-07-27,3881.839285714286
2017-07-28,3182.8035714285706
2017-07-29,3907.482142857142
2017-07-31,4206.982142857142
2017-08-01,4287.303571428572
2017-08-02,3677.3392857142853
2017-08-03,4632.660714285714
2017-08-04,9483.169642857141
2017-08-08,13219.964285714284
2017-08-09,13551.999999999998
2017-08-10,13557.875
2017-08-11,17967.17857142857
2017-08-12,24543.03571428571
2017-08-14,26636.999999999996
2017-08-15,26557.67857142857
2017-08-16,25820.785714285706
2017-08-17,25066.89285714285
2017-08-21,24850.53571428571
2017-08-22,24662.64285714285
2017-08-23,24690.857142857138
2017-08-24,23973.32142857142
2017-08-25,19831.96428571428
2017-08-28,16087.464285714286
2017-08-29,15857.785714285714
2017-08-30,15923.142857142859
2017-08-31,11404.535714285716
2017-09-01,4582.5714285714275
2017-09-04,2274.366071428571
2017-09-06,2311.839285714286
2017-09-07,2348.7321428571427
2017-09-08,2301.375
2017-09-09,2323.1696428571436
2017-09-11,2418.428571428572
2017-09-12,2392.2678571428573
2017-09-13,1596.0000000000002
2017-09-14,1381.8571428571427
2017-09-18,1959.7142857142856
2017-09-19,1904.2857142857144
2017-09-20,1839.607142857143
2017-09-21,1815.4285714285716
2017-09-22,3588.107142857143
2017-09-23,5378.330357142857
2017-09-25,5367.625
2017-09-26,5342.982142857143
2017-09-27,5325.508928571428
2017-09-28,5594.812500000001
2017-09-29,5948.446428571429
2017-09-30,6049.285714285715
2017-10-02,6052.053571428572
2017-10-03,5461.285714285714
2017-10-04,4864.410714285714
2017-10-06,4819.910714285714
2017-10-09,5169.598214285714
2017-10-10,6092.107142857142
2017-10-11,4828.526785714286
2017-10-12,2982.4285714285716
2017-10-13,3141.3035714285716
2017-10-14,3342.0178571428564
2017-10-16,4590.526785714285
2017-10-17,5460.642857142857
2017-10-18,4996.392857142857
2017-10-19,4911.428571428572
2017-10-20,4915.357142857142
2017-10-23,4941.589285714285
2017-10-24,5370.535714285713
2017-10-25,5762.892857142857
2017-10-26,5373.312499999998
2017-10-27,4459.160714285715
2017-10-28,5417.473214285714
2017-10-30,6938.892857142856
2017-10-31,6769.428571428572
2017-11-01,6559.392857142857
2017-11-02,5326.142857142857
2017-11-06,4299.785714285713
2017-11-07,4494.75
2017-11-08,4478.285714285715
2017-11-09,4502.044642857142
2017-11-10,4716.785714285714
2017-11-13,4849.910714285714
2017-11-14,4807.982142857142
2017-11-15,4805.410714285712
2017-11-16,4851.196428571427
2017-11-17,4130.142857142857
2017-11-20,3334.232142857142
2017-11-21,3307.4821428571427
2017-11-22,3615.5892857142853
2017-11-23,3901.053571428571
2017-11-24,3707.875
2017-11-27,3534.3035714285716
2017-11-28,3536.642857142857
2017-11-29,3574.4017857142853
2017-11-30,7003.482142857143
2017-12-04,10105.214285714284
2017-12-05,9820.285714285716
2017-12-06,9836.428571428572
2017-12-07,9786.464285714286
2017-12-08,9023.25
2017-12-09,9356.821428571428
2017-12-11,10397.214285714284
2017-12-12,10087.044642857143
2017-12-13,9764.892857142857
2017-12-14,11116.357142857143
2017-12-15,13212.339285714284
2017-12-18,13950.616071428569
2017-12-19,13880.60714285714
2017-12-20,10211.964285714284
2017-12-21,6568.214285714285
2017-12-22,6661.357142857143
2017-12-26,6796.607142857143
2017-12-27,6788.232142857142
2017-12-28,6825.125
2017-12-29,6112.071428571428
2017-12-30,5370.785714285715
2018-01-02,5378.312499999999
2018-01-03,5490.107142857142
2018-01-04,4283.785714285713
2018-01-05,3442.6607142857147
2018-01-08,3983.4374999999995
